code,usernname,studied,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
MU3Sec149,username049,1,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,3,3,3,A,C,A,D,B,D,C,A,B,B,0,1,1,1,1,1,0,1,1,1,8,D,C,C,D,A,D,B,B,C,A,1,1,1,1,0,1,1,1,1,0,8,3,2,2,4,5,1,2,5,2,1,2,4,3,,#REF!,#REF!,5,,,
MU3Sec150,username050,1,Experiment,18-Aug-23,22,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,D,C,A,D,B,D,D,A,B,B,1,1,1,1,1,1,0,1,1,1,9,B,D,A,A,D,B,D,B,D,B,1,1,1,1,0,1,0,0,0,0,5,5,1,4,3,5,3,2,2,3,1,2,3,6,,#REF!,#REF!,1,,,
MU3Sec151,username051,0,Control,18-Aug-23,19,Bangkok,Thailand,4,3,4,3,3,2,3,2,4,3,A,C,C,D,D,C,B,A,B,B,0,1,0,1,0,0,1,1,1,1,6,D,A,D,C,D,B,D,A,D,C,1,1,1,1,1,1,0,1,0,0,7,3,3,4,3,5,2,3,5,2,1,2,2,5,,#REF!,#REF!,4,,,
MU3Sec152,username052,0,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,5,4,4,3,3,4,4,A,B,C,D,B,D,A,A,B,B,0,0,0,1,1,1,0,1,1,1,6,B,B,A,A,D,A,B,D,D,C,0,0,0,0,1,0,0,0,1,1,3,3,2,2,1,5,3,1,5,3,1,2,2,1,,#REF!,#REF!,5,,,
MU3Sec153,username053,1,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,5,5,5,5,5,4,A,C,A,C,C,D,C,B,B,B,0,1,1,0,0,1,0,0,1,1,5,D,C,C,D,D,A,B,D,D,A,1,0,0,0,0,1,1,0,0,1,4,3,2,1,2,1,2,2,3,5,1,2,1,3,,#REF!,#REF!,2,,,
MU3Sec154,username054,1,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,3,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,B,B,A,D,D,A,D,A,B,A,0,1,0,1,1,1,1,0,0,1,6,1,4,1,2,2,2,4,4,2,1,2,1,5,,#REF!,#REF!,1,,,
MU3Sec155,username055,1,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,D,C,D,B,B,B,D,1,0,0,1,0,1,1,0,1,0,5,B,C,B,B,D,A,B,B,A,B,1,0,0,1,0,1,1,1,1,1,7,2,5,4,3,2,5,2,1,1,1,2,4,3,,#REF!,#REF!,5,,,
MU3Sec156,username056,0,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,3,4,4,3,4,3,3,3,4,4,B,C,A,D,A,C,A,D,B,C,0,1,1,1,0,0,0,0,1,0,4,B,A,D,D,B,A,A,B,C,A,0,0,0,0,1,0,1,1,0,0,3,4,2,3,5,3,4,3,5,3,1,2,2,2,,#REF!,#REF!,5,,,
MU3Sec157,username057,1,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,5,5,4,4,4,5,5,4,D,C,A,C,B,D,B,A,B,B,1,1,1,0,1,1,1,1,1,1,9,B,C,D,B,A,C,D,B,C,C,1,1,0,1,0,1,0,1,1,0,6,1,3,2,2,4,4,5,4,3,1,2,3,7,,#REF!,#REF!,4,,,
MU3Sec158,username058,1,Experiment,18-Aug-23,21,Nakorn Pathom,Thailand,3,4,4,3,4,4,4,3,4,4,D,C,A,D,B,D,C,A,B,B,1,1,1,1,1,1,0,1,1,1,9,B,C,A,C,B,B,A,D,A,B,0,1,1,0,0,1,1,1,1,0,6,2,2,5,3,5,3,4,5,2,1,2,4,7,,#REF!,#REF!,3,,,
MU3Sec159,username059,1,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,4,4,4,3,4,4,4,4,D,D,B,C,C,C,B,D,A,A,1,0,0,0,0,0,1,0,0,0,2,C,A,A,A,B,C,C,D,C,A,1,0,0,0,1,0,0,1,0,0,3,2,1,5,5,5,5,3,3,3,1,2,3,2,,#REF!,#REF!,4,,,
MU3Sec160,username060,1,Experiment,18-Aug-23,20,Samut Sekhen,Thailand,4,4,2,3,4,4,4,3,5,4,D,C,A,D,A,B,B,D,A,B,1,1,1,1,0,0,1,0,0,1,6,D,C,B,B,B,A,C,D,B,D,1,1,0,1,0,1,0,0,0,0,4,3,2,5,1,4,5,1,4,3,1,2,1,1,,#REF!,#REF!,4,,,
MU3Sec160,username060,1,Experiment,18-Aug-23,,,Thailand,5,5,5,5,5,5,5,5,5,5,C,B,A,D,C,B,B,B,A,C,0,0,1,1,0,0,1,0,0,0,3,A,C,A,A,B,A,A,C,C,C,1,1,0,0,0,1,1,1,1,0,6,3,5,5,4,4,4,4,4,3,1,2,4,5,,#REF!,#REF!,1,,,
MU3Sec163,username063,1,Control,18-Aug-23,18,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,A,C,A,A,C,C,C,D,A,C,0,0,1,1,1,0,1,1,1,0,6,1,2,3,2,2,3,5,3,1,1,2,4,3,,#REF!,#REF!,1,,,
MU3Sec164,username064,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,3,4,3,4,4,4,4,A,D,C,D,D,D,A,A,B,B,0,0,0,1,0,1,0,1,1,1,5,D,D,D,C,A,A,D,C,A,B,1,0,0,0,1,0,0,1,0,0,3,5,2,4,4,4,4,5,5,2,1,2,3,5,,#REF!,#REF!,4,,,
MU3Sec165,username065,1,Control,18-Aug-23,18,Bangkok,Thailand,4,4,2,4,5,5,2,5,5,4,D,C,A,D,D,B,B,A,B,A,1,1,1,1,0,0,1,1,1,0,7,A,C,A,D,C,D,B,A,A,A,1,0,0,1,0,1,0,0,1,0,4,4,2,1,5,2,3,3,1,3,1,2,1,3,,#REF!,#REF!,1,,,
MU3Sec166,username066,0,Experiment,18-Aug-23,18,Samut Sekhen,Thailand,3,4,3,4,4,4,4,4,3,4,D,D,A,D,B,B,B,A,B,B,1,0,1,1,1,0,1,1,1,1,8,D,C,C,D,B,A,C,C,D,D,0,1,0,0,0,0,0,0,0,1,2,1,3,3,5,4,4,1,5,3,1,2,4,6,,#REF!,#REF!,3,,,
MU3Sec167,username067,0,Control,18-Aug-23,19,Bangkok,Thailand,3,5,3,3,4,4,5,3,5,5,D,C,C,A,D,B,A,A,B,D,1,1,0,0,0,0,0,1,1,0,4,A,A,C,C,A,C,C,A,D,C,0,1,0,0,1,1,0,0,0,0,3,1,3,2,5,1,5,3,2,5,1,2,3,2,,#REF!,#REF!,1,,,
MU3Sec169,username069,1,Control,18-Aug-23,,,Thailand,5,5,5,3,5,5,5,5,5,5,C,B,D,A,C,C,A,B,C,A,0,0,0,0,0,0,0,0,0,0,0,A,C,C,B,D,D,D,A,D,A,1,0,1,1,1,0,0,1,1,1,7,2,1,5,1,4,1,4,2,2,1,2,4,2,,#REF!,#REF!,4,,,
MU3Sec169,username069,1,Control,18-Aug-23,,,Thailand,4,4,5,5,5,5,5,5,5,5,C,B,C,C,C,B,A,C,B,C,0,0,0,0,0,0,0,0,1,0,1,B,A,D,C,D,D,C,B,B,B,1,1,1,1,0,1,0,1,1,0,7,2,4,1,4,3,3,4,2,4,1,2,3,7,,#REF!,#REF!,2,,,
MU3Sec173,username073,1,Control,18-Aug-23,20,Bangkok,Thailand,4,5,5,4,5,5,5,5,5,5,B,C,B,D,D,A,A,B,A,C,0,1,0,1,0,0,0,0,0,0,2,A,A,C,C,A,B,B,B,B,A,1,0,0,0,1,1,1,0,1,1,6,5,4,3,3,1,2,1,1,3,1,2,3,2,,#REF!,#REF!,1,,,
MU3Sec175,username075,1,Control,18-Aug-23,,,Thailand,4,4,4,5,5,5,5,5,5,5,C,B,A,A,D,C,C,A,A,A,0,0,1,0,0,0,0,1,0,0,2,D,C,D,B,A,B,A,B,B,B,0,0,0,0,1,0,1,0,1,1,4,2,5,5,2,5,1,4,3,4,1,2,1,6,,#REF!,#REF!,3,,,
MU3Sec176,username076,1,Experiment,18-Aug-23,,,Thailand,5,5,5,5,5,5,5,5,5,5,D,A,A,B,A,B,A,B,C,A,1,0,1,0,0,0,0,0,0,0,2,C,D,D,D,B,C,A,B,C,A,0,1,1,0,0,0,1,0,0,0,3,3,2,5,5,3,2,3,2,1,1,2,3,5,,#REF!,#REF!,5,,,
MU3Sec178,username078,1,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,3,5,4,5,3,4,5,D,C,A,C,B,B,A,A,A,B,1,1,1,0,1,0,0,1,0,1,6,A,D,C,B,B,C,A,C,C,D,0,1,0,1,1,1,0,0,1,0,5,2,1,4,5,3,1,3,5,2,1,2,1,2,,#REF!,#REF!,1,,,
MU3Sec182,username082,0,Experiment,18-Aug-23,18,Bangkok,Thailand,5,5,4,5,4,5,5,5,5,5,D,C,B,D,C,A,B,A,B,A,1,1,0,1,0,0,1,1,1,0,6,B,C,B,B,A,D,C,B,A,A,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,5,5,5,2,4,1,2,1,6,,#REF!,#REF!,5,,,
MU3Sec183,username083,1,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,4,3,3,4,4,4,3,C,C,B,D,B,D,B,A,A,C,0,1,0,1,1,1,1,1,0,0,6,B,C,C,C,B,A,B,B,B,C,0,0,1,1,1,1,0,1,1,0,6,5,1,2,4,1,1,5,4,2,1,2,1,4,,#REF!,#REF!,1,,,
MU3Sec184,username084,0,Experiment,18-Aug-23,18,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,C,D,C,D,B,B,C,A,A,C,0,0,0,1,1,0,0,1,0,0,3,D,B,A,A,D,B,A,D,A,A,1,1,0,1,1,1,0,0,0,0,5,1,4,5,2,5,1,2,2,1,1,2,1,2,,#REF!,#REF!,2,,,
MU3Sec185,username085,1,Control,18-Aug-23,20,Samut Sekhen,Thailand,5,5,4,5,5,5,5,5,5,5,B,A,C,C,D,C,C,A,A,D,0,0,0,0,0,0,0,1,0,0,1,B,D,B,D,A,C,C,C,A,A,0,0,0,0,0,0,0,1,1,1,3,5,1,3,4,1,1,4,2,1,1,2,3,5,,#REF!,#REF!,1,,,
MU3Sec189,username089,0,Control,18-Aug-23,18,Pathum Thani,Thailand,4,4,5,3,4,2,3,4,4,3,D,C,A,D,D,D,B,C,A,D,1,1,1,1,0,1,1,0,0,0,6,B,D,D,D,B,A,D,A,B,B,1,1,1,0,1,0,1,0,1,1,7,4,3,2,4,3,2,1,5,5,1,2,1,7,,#REF!,#REF!,4,,,
MU3Sec372,username072,0,Experiment,18-Aug-23,19,,Thailand,4,3,3,3,3,4,3,3,3,3,C,A,B,D,A,C,B,C,D,A,0,0,0,1,0,0,1,0,0,0,2,D,D,B,D,B,C,B,C,A,A,1,0,1,1,0,0,0,1,0,1,5,1,4,5,3,1,4,3,4,3,1,2,4,5,,Yes,No,3,,,
MU3Sec3148,username148,0,Experiment,18-Aug-23,19,Rayoung,Thailand,4,5,4,3,4,3,4,5,5,4,D,D,C,D,B,A,C,A,B,A,1,0,0,1,1,0,0,1,1,0,5,C,C,C,A,D,C,C,B,A,C,0,1,1,0,0,1,0,1,1,1,6,1,2,5,1,1,3,2,1,3,1,2,1,7,,No,No,2,,,
MU3Sec3150,username150,0,Experiment,18-Aug-23,19,Bangkok,Thailand,3,3,4,3,3,4,3,2,3,4,A,C,B,D,D,D,B,A,A,C,0,1,0,1,0,1,1,1,0,0,5,B,A,B,D,A,B,A,B,C,A,1,0,0,0,1,0,0,0,1,1,4,3,5,1,3,3,1,2,4,1,1,2,1,3,,Yes,Yes,4,,,
MU3Sec3151,username151,0,Control,18-Aug-23,19,Bangkok,Thailand,2,4,4,3,3,4,3,3,4,4,D,B,B,C,C,B,B,D,C,A,1,0,0,0,0,0,1,0,0,0,2,C,D,D,B,A,C,C,D,D,B,0,0,1,1,1,1,1,1,0,1,7,1,3,1,5,5,2,3,4,1,1,2,1,3,,Yes,No,1,,,
MU3Sec3152,username152,1,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,C,C,A,B,B,A,B,B,1,1,0,0,0,0,1,1,1,1,6,C,D,B,C,B,D,A,B,D,D,0,1,0,1,0,1,0,0,1,1,5,4,3,5,1,2,5,5,4,3,1,2,2,4,,No,No,2,,,
MU3Sec3153,username153,1,Control,18-Aug-23,18,Bangkok,Thailand,4,4,3,4,4,4,5,5,5,3,D,A,B,D,A,B,A,A,B,A,1,0,0,1,0,0,0,1,1,0,4,D,A,D,C,B,B,B,B,B,B,0,0,1,0,1,1,1,1,1,1,7,5,4,1,4,5,3,1,3,3,1,2,1,1,,Yes,Yes,5,,,
MU3Sec3154,username154,0,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,B,B,D,D,B,A,B,A,0,1,0,0,0,1,1,1,1,0,5,C,B,D,D,D,D,D,B,D,A,1,0,1,1,1,1,1,0,1,1,8,2,4,3,4,4,4,5,4,2,1,2,4,3,,Yes,Yes,2,,,
MU3Sec3160,username160,0,Experiment,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,C,B,C,A,D,0,0,0,0,0,0,1,0,0,0,1,D,D,A,C,A,B,B,D,A,D,1,1,1,0,0,1,1,1,0,1,7,1,5,4,5,3,5,1,1,3,1,2,4,2,,Yes,No,2,,,
MU3Sec3161,username161,0,Control,,19,,,5,5,5,5,5,5,5,5,5,5,B,B,B,B,B,B,B,B,B,B,0,0,0,0,1,0,1,0,1,1,4,A,D,C,A,B,C,B,D,C,B,0,0,1,0,1,0,1,1,1,0,5,4,4,1,5,1,3,1,3,2,1,2,3,7,,No,Yes,3,,,
MU3Sec3162,username162,0,Experiment,18-Aug-23,19,,Thailand,3,5,4,3,5,4,4,4,4,4,A,D,C,A,A,D,C,C,C,C,0,0,0,0,0,1,0,0,0,0,1,D,D,D,D,A,C,A,C,A,C,0,1,0,1,1,1,1,0,1,0,6,5,5,1,5,2,5,1,3,5,1,2,4,5,,Yes,Yes,2,,,
MU3Sec3164,username164,0,Experiment,18-Aug-23,19,Samut Prakan,Thailand,4,4,5,4,4,4,5,4,4,4,D,D,C,C,B,D,A,A,A,B,1,0,0,0,1,1,0,1,0,1,5,B,B,A,C,D,D,D,D,A,B,1,1,1,0,1,0,1,1,0,0,6,4,3,4,3,1,1,5,2,5,1,2,2,1,,No,Yes,3,,,
MU3Sec3165,username165,1,Control,18-Aug-23,19,Nonthaburi,Thailand,5,5,5,5,5,5,5,5,5,5,A,D,C,C,A,D,C,A,A,B,0,0,0,0,0,1,0,1,0,1,3,C,C,C,D,A,A,A,A,A,A,1,1,0,0,1,1,0,0,1,1,6,2,3,2,3,5,5,3,4,4,1,2,3,4,,Yes,Yes,4,,,
MU3Sec3166,username166,0,Experiment,18-Aug-23,20,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,C,C,C,C,C,C,C,C,C,C,0,1,0,0,0,0,0,0,0,0,1,C,C,B,A,C,B,D,C,D,B,0,0,0,1,0,0,1,0,1,1,4,2,5,1,4,2,5,4,3,4,1,2,2,6,,No,Yes,3,,,
MU3Sec3169,username169,0,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,3,5,5,4,4,5,4,D,C,B,C,B,D,C,A,A,A,1,1,0,0,1,1,0,1,0,0,5,C,B,D,D,B,D,D,A,A,C,0,1,1,1,0,0,0,0,0,0,3,2,1,3,4,3,5,3,5,5,1,2,2,1,,Yes,Yes,3,,,
MU3Sec3170,username170,1,Experiment,18-Aug-23,19,Chumphon,Thailand,5,5,5,5,5,5,5,5,5,5,B,C,C,D,B,D,C,A,A,C,0,1,0,1,1,1,0,1,0,0,5,A,D,B,D,D,B,B,D,A,B,0,1,1,0,1,1,0,1,1,1,7,1,2,4,3,3,1,3,3,1,1,2,4,6,,No,No,1,,,
MU3Sec3171,username171,0,Control,18-Aug-23,21,Samut Prakan,Thailand,4,4,4,5,5,4,4,5,4,4,B,C,C,D,A,C,B,A,D,A,0,1,0,1,0,0,1,1,0,0,4,B,A,B,B,B,A,D,D,A,D,0,1,1,1,1,1,1,0,0,1,7,4,1,5,5,3,1,2,4,5,1,2,3,3,,Yes,Yes,2,,,
MU3Sec3172,username172,0,Experiment,18-Aug-23,19,Nonthaburi,Thailand,3,5,4,5,5,4,5,4,5,5,D,C,B,D,C,B,B,D,A,A,1,1,0,1,0,0,1,0,0,0,4,D,A,C,B,D,C,A,D,B,C,0,1,1,1,1,0,1,1,1,0,7,3,1,1,2,4,1,4,1,5,1,2,3,4,,No,Yes,4,,,
MU3Sec3173,username173,0,Control,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,A,B,C,B,A,C,C,1,0,0,0,1,0,1,1,0,0,4,B,B,B,A,D,A,D,B,A,C,1,1,1,1,1,1,1,1,1,0,9,1,5,3,4,5,4,5,4,2,1,2,2,6,,No,Yes,3,,,
MU3Sec3174,username174,1,Experiment,18-Aug-23,23,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,B,A,C,B,A,C,C,C,1,1,0,0,0,0,0,0,0,0,2,D,C,A,B,A,C,A,A,C,B,0,1,1,0,1,0,1,1,1,1,7,2,5,1,3,1,1,5,4,2,1,2,2,6,,No,No,5,,,
MU3Sec3175,username175,1,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,A,A,C,B,C,B,D,B,A,C,0,0,0,0,0,0,0,0,0,0,0,D,B,D,A,D,A,B,D,A,A,0,0,1,1,0,1,0,0,0,1,4,3,3,2,4,5,2,5,1,4,1,2,1,4,,Yes,Yes,4,,,
MU3Sec3176,username176,1,Experiment,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,C,C,B,C,B,B,C,B,A,C,0,1,0,0,1,0,0,0,0,0,2,A,C,B,B,B,D,A,B,B,D,1,0,0,0,0,0,0,0,0,0,1,5,4,3,3,2,2,2,3,3,1,2,1,5,,No,Yes,5,,,
MU3Sec3177,username177,0,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,B,C,C,C,D,A,D,B,D,B,0,1,0,0,0,0,0,0,0,1,2,C,A,C,A,C,D,B,B,C,B,1,1,1,1,0,0,1,0,1,0,6,2,2,1,1,1,3,5,1,5,1,2,3,5,,Yes,No,5,,,
MU3Sec3178,username178,0,Experiment,18-Aug-23,20,,Thailand,4,4,5,4,5,5,5,5,5,5,B,B,B,A,A,D,B,A,A,A,0,0,0,0,0,1,1,1,0,0,3,D,C,C,D,C,B,C,D,D,D,0,1,0,0,1,1,0,1,0,0,4,5,4,3,2,3,2,3,1,2,1,2,1,1,,Yes,No,1,,,
MU3Sec3179,username179,0,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,3,3,3,3,3,B,C,D,A,B,C,A,B,C,A,0,1,0,0,1,0,0,0,0,0,2,D,B,A,C,D,C,D,C,A,C,1,0,1,1,1,0,1,1,0,0,6,5,1,3,4,3,3,2,2,3,1,2,4,2,,No,Yes,2,,,
MU3Sec3180,username180,0,Experiment,18-Aug-23,19,,Thailand,4,5,5,5,4,5,5,5,5,5,D,B,B,C,B,D,B,D,A,C,1,0,0,0,1,1,1,0,0,0,4,C,D,C,D,B,D,D,B,B,C,1,0,0,1,0,1,0,0,0,0,3,3,3,1,3,4,2,3,1,2,1,2,4,2,,Yes,Yes,1,,,
MU3Sec3181,username181,0,Control,18-Aug-23,19,Rayoung,Thailand,5,5,5,5,5,5,5,5,5,5,A,D,D,C,A,B,C,A,B,B,0,0,0,0,0,0,0,1,1,1,3,D,C,D,D,A,B,A,C,B,A,1,0,1,0,1,0,1,1,0,0,5,2,5,2,4,4,2,1,4,2,1,2,1,5,,No,No,2,,,
MU3Sec3182,username182,1,Experiment,18-Aug-23,19,Bangkok,Thailand,3,3,4,3,4,2,4,4,3,3,A,B,C,D,A,B,C,D,A,A,0,0,0,1,0,0,0,0,0,0,1,D,D,A,C,B,C,C,D,C,C,1,0,1,0,1,0,1,1,0,1,6,2,5,4,5,5,5,4,2,3,1,2,2,3,,No,No,5,,,
MU3Sec3183,username183,1,Control,18-Aug-23,19,,Thailand,3,1,4,3,3,4,4,4,5,4,D,D,D,C,C,D,B,D,A,B,1,0,0,0,0,1,1,0,0,1,4,C,D,B,A,A,A,A,D,A,C,1,0,0,1,0,1,1,0,1,0,5,4,5,5,3,5,2,5,2,4,1,2,3,5,,Yes,Yes,3,,,
MU3Sec3184,username184,0,Experiment,18-Aug-23,19,Samut Sakorn,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,D,C,A,B,A,D,A,B,0,1,0,0,0,0,0,0,0,1,2,D,B,A,B,A,C,C,C,C,D,1,0,0,1,1,0,1,0,1,1,6,5,4,1,2,3,3,1,5,1,1,2,4,1,,Yes,No,1,,,
MU3Sec3185,username185,0,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,5,4,5,5,5,3,5,A,C,C,D,A,B,A,A,A,B,0,1,0,1,0,0,0,1,0,1,4,D,D,B,A,C,C,B,A,A,D,1,0,1,1,1,0,0,0,0,1,5,1,2,4,5,3,4,4,3,2,1,2,3,6,,No,Yes,5,,,
MU3Sec3186,username186,0,Experiment,18-Aug-23,19,Samut Sakorn,Thailand,4,3,3,4,3,3,4,3,3,3,A,B,C,A,B,C,B,B,A,C,0,0,0,0,1,0,1,0,0,0,2,D,B,B,D,B,C,C,D,C,B,0,0,0,1,1,0,0,0,1,0,3,2,3,2,2,4,4,3,2,2,1,2,2,5,,No,Yes,5,,,
