code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,post11grade,post12grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,translated
MU3Sec147,Control,18-Aug-23,19,Bangkok,Thailand,4,3,4,4,5,4,4,4,4,4,D,C,B,B,B,D,C,A,B,B,1,1,0,0,1,1,0,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
MU3Sec148,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,3,3,3,4,4,4,5,5,A,D,C,D,B,D,D,A,B,B,0,0,0,1,1,1,0,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
MU3Sec149,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,3,3,3,A,C,A,D,B,D,C,A,B,B,0,1,1,1,1,1,0,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
MU3Sec150,Experiment,18-Aug-23,22,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,D,C,A,D,B,D,D,A,B,B,1,1,1,1,1,1,0,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
MU3Sec151,Control,18-Aug-23,19,Bangkok,Thailand,4,3,4,3,3,2,3,2,4,3,A,C,C,D,D,C,B,A,B,B,0,1,0,1,0,0,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
MU3Sec152,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,5,4,4,3,3,4,4,A,B,C,D,B,D,A,A,B,B,0,0,0,1,1,1,0,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
MU3Sec153,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,5,5,5,5,5,4,A,C,A,C,C,D,C,B,B,B,0,1,1,0,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
MU3Sec154,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,3,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
MU3Sec155,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,D,C,D,B,B,B,D,1,0,0,1,0,1,1,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
MU3Sec156,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,3,4,4,3,4,3,3,3,4,4,B,C,A,D,A,C,A,D,B,C,0,1,1,1,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
MU3Sec157,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,5,5,4,4,4,5,5,4,D,C,A,C,B,D,B,A,B,B,1,1,1,0,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
MU3Sec158,Experiment,18-Aug-23,21,Nakorn Pathom,Thailand,3,4,4,3,4,4,4,3,4,4,D,C,A,D,B,D,C,A,B,B,1,1,1,1,1,1,0,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
MU3Sec159,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,4,4,4,3,4,4,4,4,D,D,B,C,C,C,B,D,A,A,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
MU3Sec160,Experiment,18-Aug-23,20,Samut Sekhen,Thailand,4,4,2,3,4,4,4,3,5,4,D,C,A,D,A,B,B,D,A,B,1,1,1,1,0,0,1,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
MU3Sec160,Experiment,18-Aug-23,,,Thailand,5,5,5,5,5,5,5,5,5,5,C,B,A,D,C,B,B,B,A,C,0,0,1,1,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
MU3Sec163,Control,18-Aug-23,18,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
MU3Sec164,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,3,4,3,4,4,4,4,A,D,C,D,D,D,A,A,B,B,0,0,0,1,0,1,0,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
MU3Sec165,Control,18-Aug-23,18,Bangkok,Thailand,4,4,2,4,5,5,2,5,5,4,D,C,A,D,D,B,B,A,B,A,1,1,1,1,0,0,1,1,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
MU3Sec166,Experiment,18-Aug-23,18,Samut Sekhen,Thailand,3,4,3,4,4,4,4,4,3,4,D,D,A,D,B,B,B,A,B,B,1,0,1,1,1,0,1,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
MU3Sec167,Control,18-Aug-23,19,Bangkok,Thailand,3,5,3,3,4,4,5,3,5,5,D,C,C,A,D,B,A,A,B,D,1,1,0,0,0,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
MU3Sec169,Control,18-Aug-23,,,Thailand,5,5,5,3,5,5,5,5,5,5,C,B,D,A,C,C,A,B,C,A,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
MU3Sec169,Control,18-Aug-23,,,Thailand,4,4,5,5,5,5,5,5,5,5,C,B,C,C,C,B,A,C,B,C,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
MU3Sec173,Control,18-Aug-23,20,Bangkok,Thailand,4,5,5,4,5,5,5,5,5,5,B,C,B,D,D,A,A,B,A,C,0,1,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
MU3Sec175,Control,18-Aug-23,,,Thailand,4,4,4,5,5,5,5,5,5,5,C,B,A,A,D,C,C,A,A,A,0,0,1,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
MU3Sec176,Experiment,18-Aug-23,,,Thailand,5,5,5,5,5,5,5,5,5,5,D,A,A,B,A,B,A,B,C,A,1,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
MU3Sec178,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,3,5,4,5,3,4,5,D,C,A,C,B,B,A,A,A,B,1,1,1,0,1,0,0,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
MU3Sec182,Experiment,18-Aug-23,18,Bangkok,Thailand,5,5,4,5,4,5,5,5,5,5,D,C,B,D,C,A,B,A,B,A,1,1,0,1,0,0,1,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
MU3Sec183,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,4,3,3,4,4,4,3,C,C,B,D,B,D,B,A,A,C,0,1,0,1,1,1,1,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
MU3Sec184,Experiment,18-Aug-23,18,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,C,D,C,D,B,B,C,A,A,C,0,0,0,1,1,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
MU3Sec185,Control,18-Aug-23,20,Samut Sekhen,Thailand,5,5,4,5,5,5,5,5,5,5,B,A,C,C,D,C,C,A,A,D,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
MU3Sec189,Control,18-Aug-23,18,Pathum Thani,Thailand,4,4,5,3,4,2,3,4,4,3,D,C,A,D,D,D,B,C,A,D,1,1,1,1,0,1,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
